"gene","p1","p12","prior_ratio","idx1","idx2","hit1","hit2","PP.H3.abf","PP.H4.abf","n_snp"
"IREB2",1e-06,1e-04,1e+08,1,1,"rs7359276","rs4887067",0.000513542392761685,0.99852881785902,378
"IREB2",1e-06,1e-04,1e+08,1,2,"rs7359276","rs28498264",3.86941297640567e-07,0.999997857111169,378
"IREB2",1e-05,1e-08,100,1,1,"rs7359276","rs4887067",0.841452191831196,0.00163611470880848,378
"IREB2",1e-05,1e-08,100,1,2,"rs7359276","rs28498264",0.257441292293561,0.66532247189761,378
"IREB2",1e-05,1e-07,1000,1,1,"rs7359276","rs4887067",0.829241582676053,0.0161237247195154,378
"IREB2",1e-05,1e-07,1000,1,2,"rs7359276","rs28498264",0.0368409979405754,0.952106151993996,378
"IREB2",1e-05,1e-06,10000,1,1,"rs7359276","rs4887067",0.724156659056211,0.140804596252232,378
"IREB2",1e-05,1e-06,10000,1,2,"rs7359276","rs28498264",0.0038500543187802,0.994994871836643,378
"IREB2",1e-05,1e-05,1e+05,1,1,"rs7359276","rs4887067",0.319399897086187,0.621039287422117,378
"IREB2",1e-05,1e-05,1e+05,1,2,"rs7359276","rs28498264",0.000386747580966666,0.999497222363808,378
"IREB2",1e-05,1e-04,1e+06,1,1,"rs7359276","rs4887067",0.048472113824043,0.942488939531632,378
"IREB2",1e-05,1e-04,1e+06,1,2,"rs7359276","rs28498264",3.8692266342256e-05,0.999949699475401,378
"IREB2",1e-04,1e-08,1,1,1,"rs7359276","rs4887067",0.981674908323388,1.90876293670443e-05,378
"IREB2",1e-04,1e-08,1,1,2,"rs7359276","rs28498264",0.948490081865045,0.0245124533137142,378
"IREB2",1e-04,1e-07,10,1,1,"rs7359276","rs4887067",0.981506296667689,0.000190843508918956,378
"IREB2",1e-04,1e-07,10,1,2,"rs7359276","rs28498264",0.777061031545954,0.200820995620985,378
"IREB2",1e-04,1e-06,100,1,1,"rs7359276","rs4887067",0.979823360313859,0.00190516279760935,378
"IREB2",1e-04,1e-06,100,1,2,"rs7359276","rs28498264",0.27679136822671,0.715330146410712,378
"IREB2",1e-04,1e-05,1000,1,1,"rs7359276","rs4887067",0.963306066390278,0.0187304666813647,378
"IREB2",1e-04,1e-05,1000,1,2,"rs7359276","rs28498264",0.0372132879254547,0.961727487048518,378
"IREB2",1e-04,1e-04,10000,1,1,"rs7359276","rs4887067",0.824343089451421,0.160284787044282,378
"IREB2",1e-04,1e-04,10000,1,2,"rs7359276","rs28498264",0.00385408371453814,0.996036215096709,378
"IREB2",0.001,1e-08,0.01,1,1,"rs7359276","rs4887067",0.998138504655589,1.94077465689543e-07,378
"IREB2",0.001,1e-08,0.01,1,2,"rs7359276","rs28498264",0.996920094876032,0.000257640620080087,378
"IREB2",0.001,1e-07,0.1,1,1,"rs7359276","rs4887067",0.998136761212905,1.94077126695569e-06,378
"IREB2",0.001,1e-07,0.1,1,2,"rs7359276","rs28498264",0.994613818587383,0.00257044593922989,378
"IREB2",0.001,1e-06,1,1,1,"rs7359276","rs4887067",0.998119327121115,1.94073736820983e-05,378
"IREB2",0.001,1e-06,1,1,2,"rs7359276","rs28498264",0.972124673316811,0.0251232576127017,378
"IREB2",0.001,1e-05,10,1,1,"rs7359276","rs4887067",0.997945019693904,0.000194039844587023,378
"IREB2",0.001,1e-05,10,1,2,"rs7359276","rs28498264",0.792853180901308,0.204902264694829,378
"IREB2",0.001,1e-04,100,1,1,"rs7359276","rs4887067",0.996205288020534,0.00193701572180365,378
"IREB2",0.001,1e-04,100,1,2,"rs7359276","rs28498264",0.278769206060509,0.720441602870834,378
"IREB2",0.01,1e-08,1e-04,1,1,"rs7359276","rs4887067",0.999813555570377,1.94403161607422e-09,378
"IREB2",0.01,1e-08,1e-04,1,2,"rs7359276","rs28498264",0.999714552558307,2.58362810167085e-06,378
"IREB2",0.01,1e-07,0.001,1,1,"rs7359276","rs4887067",0.999813538077363,1.9440315820609e-08,378
"IREB2",0.01,1e-07,0.001,1,2,"rs7359276","rs28498264",0.999691307083321,2.58356802686024e-05,378
"IREB2",0.01,1e-06,0.01,1,1,"rs7359276","rs4887067",0.999813363147166,1.94403124192766e-07,378
"IREB2",0.01,1e-06,0.01,1,2,"rs7359276","rs28498264",0.999458911775346,0.000258296743237371,378
"IREB2",0.01,1e-05,0.1,1,1,"rs7359276","rs4887067",0.999811613848664,1.94402784060191e-06,378
"IREB2",0.01,1e-05,0.1,1,2,"rs7359276","rs28498264",0.997140887581048,0.00257697680991711,378
"IREB2",0.01,1e-04,1,1,1,"rs7359276","rs4887067",0.999794121200201,1.94399382799878e-05,378
"IREB2",0.01,1e-04,1,1,2,"rs7359276","rs28498264",0.974538616837418,0.0251856427435346,378
